addr,content,referencing_funcs
6c02,"[SBAT] SbaTicketValidation: SBAT initialization related NVM block read status failed.",""
6206,"[CAL] EEPROM Write Failure for CalGroup-%d",""
6706,"[SBAT] NVM F0F4 status: %d",""
7c06," The checksum is %x",""
6b0a,"[SBAT] SbaTicketValidation: SBAT related NVM initialization write block status failed.",""
7f0a,"[J6_CDD] Failed to read RVS_STATUS from NVM :",""
a00a,"[INT_DID] DIDF0B4_Tn NvM ReadError Status:%d",""
350e,"[SS_SWC] cal_sleep_fault_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
440e,"[SS_SWC] cal_flush_limit_time (%d) read eeprom error !, Reinstating the default value (%d) ",""
630e,"[CAL] EEPROM Write Failure for CalGroup-%d",""
690e,"[SBAT] SbaTicketValidation: Error loading appNBID NVM with default value.",""
3812,"[SS_SWC] cal_startup_delay_wait_timeout_msec (%d) read out of range !, Reinstating the default value (%d) ","00086ae4;000a9282;000aa0a8;000aac1e;000aad1e;000ac32a"
9f12,"[INT_DID] DIDF09A_DDSV NvM ReadError Status:%d",""
3a16,"[SS_SWC] cal_master_offmode_active_timeout_min (%d) read eeprom error !, Reinstating the default value (%d) ","0005ffcc"
4616,"[SS_SWC] cal_max_suspend_time_1 (%d) read eeprom error !, Reinstating the default value (%d) ",""
7d16,"[AME_DIAG] NVM GetErrorStatus failed, MasterKey Ret=%d, UnlockKey Ret=%d.",""
a11a,"[INT_DID] DIDF199 NvM ReadError Status:%d",""
3f1e,"[SS_SWC] cal_remote_reflash_programming_complete_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
6722,"[SBAT] SbaTicketValidation: nvmIntegrity checks failed.",""
6822,"[SBAT] SbaTicketValidation: Loading nvmInitialized NVM with default value.",""
d162e,"CrCj]b",""
4126,"[SS_SWC] cal_offmode_active_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
612a,"[CAL] EEPROM Write Failure for CalGroup-%d",""
12d2a,"[SS_LOG] Persistent data checksum is valid: %02X",""
3232,"[SS_SWC] cal_critical_state_of_charge_ignore (%d) read eeprom error !, Reinstating the default value (%d) ",""
3c32,"[SS_SWC] cal_cluster_animation_ignore (%d) read eeprom error !, Reinstating the default value (%d) ",""
3e32,"[SS_SWC] cal_disabled_state_offmode_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
6232,"[CAL] EEPROM Write Failure for CalGroup-%d",""
9e36,"[INT_DID] DID4787 NvM ReadError Status:%d",""
633a,"[CAL] value successfully updated in NVM",""
803a,"[J6_CDD] Failed to read to TimeDispFormat Signal from EEPROM - Error Status is = %d",""
a03a,"[INT_DID] DIDF0B4_Year NvM ReadError Status:%d",""
343e,"[SS_SWC] cal_background_sleep_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
453e,"[SS_SWC] cal_str_mode_soc_min_threshold_2 (%d) read eeprom error !, Reinstating the default value (%d) ",""
9f42,"[INT_DID] DIDF09A_SysCode NvM ReadError Status:%d",""
4346,"[SS_SWC] cal_suspend_to_ram_en (%d) read eeprom error !, Reinstating the default value (%d) ",""
a146,"[INT_DID] DIDF1CB NvM ReadError Status:%d",""
13446,"[J6_CDD] Calibration_Request_CalGroup: GetCal Index = %d message.",""
394e,"[SS_SWC] cal_local_valet_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ","000b7c8e"
404e,"[SS_SWC] cal_infotainment_activity_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
6156,"[CAL] EEPROM Write Failure for CalGroup-%d",""
695a,"[SBAT] SbaTicketValidation: Loading keyNBID NVM with default value.",""
625e,"[CAL] EEPROM Write Failure for CalGroup-%d",""
3d62,"[SS_SWC] cal_rsi_hmiready_ignore (%d) read eeprom error !, Reinstating the default value (%d) ",""
3366,"[SS_SWC] cal_local_infotainment_cancel_mode (%d) read out of range !, Reinstating the default value (%d) ",""
4266,"[SS_SWC] cal_shutdown_animation_failsafe_timeout (%d) read eeprom error !, Reinstating the default value (%d) ",""
6b66,"[SBAT] SbaTicketValidation: nvmInitialized write block status failed.",""
9e66,"[INT_DID] DIDF0AB NvM ReadError Status:%d",""
a466,"[OTA_DIAG] DIDF198 NvM ReadError Status:%d",""
366a,"[SS_SWC] cal_user_initiated_local_infotainment_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ","00086ae4;0008b836;0008fa54"
a06a,"[INT_DID] DIDF0F3 NvM ReadError Status:%d",""
446e,"[SS_SWC] cal_str_min_temp_threshold (%d) read eeprom error !, Reinstating the default value (%d) ",""
3572,"[SS_SWC] cal_veh_initiated_local_infotainment_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
3b72,"[SS_SWC] cal_update_available_local_infotainment_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ",""
6872,"[SBAT] SbaTicketValidation: Error loading nvmInitialized NVM with default value.",""
a172,"[INT_DID] DIDF1CC NvM ReadError Status:%d",""
4676,"[SS_SWC] cal_max_suspend_time_2 (%d) read eeprom error !, Reinstating the default value (%d) ",""
6a76,"[SBAT] SbaTicketValidation: nvmInitialized read block status failed.",""
9f76,"[INT_DID] DIDF0B4_Doy NvM ReadError Status:%d",""
667a,"[SBAT] SbaTicketValidation: nvmInitialized read block failed.",""
887a,"[PLC] Rte_Pim_PLC_BootCounter_PIM - Nvm_ErrorStatus is = %d",""
387e,"[SS_SWC] cal_startup_fault_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ","000a6560"
6182,"[CAL] EEPROM Write Failure for CalGroup-%d",""
3a86,"[SS_SWC] cal_master_offmode_active_timeout_min (%d) read out of range !, Reinstating the default value (%d) ",""
628a,"[CAL] EEPROM Write Failure for CalGroup-%d",""
1348a,"[J6_CDD] Calibration_Request_CalGroup: GetCal failed for Index = %d message.",""
418e,"[SS_SWC] cal_powermode_failure_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
af8e,"[PROTOKEY] %s %lu value is %02x %02x %02x %02x %02x %02x %02x %02x Checksum is %d",""
6796,"[SBAT] NVM AppNBID status: %d",""
a096,"[INT_DID] DIDF0F4 NvM ReadError Status:%d",""
3c9a,"[SS_SWC] cal_cluster_hmiready_ignore (%d) read eeprom error !, Reinstating the default value (%d) ",""
329e,"[SS_SWC] cal_vin_relearn_en (%d) read eeprom error !, Reinstating the default value (%d) ",""
9e9e,"[INT_DID] DID4782 NvM ReadError Status:%d",""
a19e,"[INT_DID] DIDF1DB NvM ReadError Status:%d",""
3ea2,"[SS_SWC] cal_remote_reflash_programming_complete_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
69a2,"[SBAT] SbaTicketValidation: Error loading keyNBID NVM with default value.",""
37a6,"[SS_SWC] cal_startup_delay_wait_timeout_msec (%d) read eeprom error !, Reinstating the default value (%d) ","00086ae4;000aa0a8"
43a6,"[SS_SWC] cal_maximum_flush_fault_time (%d) read eeprom error !, Reinstating the default value (%d) ",""
60a6,"[CAL] EEPROM Write Failure for CalGroup-%d",""
9fa6,"[INT_DID] DIDF0B4_Line NvM ReadError Status:%d",""
34aa,"[SS_SWC] cal_sleep_fault_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
45aa,"[SS_SWC] cal_str_mode_soc_min_threshold_3 (%d) read eeprom error !, Reinstating the default value (%d) ",""
61ae,"[CAL] EEPROM Write Failure for CalGroup-%d",""
6bae,"[SBAT] SbaTicketValidation: SBAT initialization related NVM block read failed.",""
39b2,"[SS_SWC] cal_local_valet_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ","000c099c"
1b3b2,"[IPC_S] HDLC: CRC Failed 0x%X Last RSeq:%d",""
62b6,"[CAL] EEPROM Write Failure for CalGroup-%d",""
67b6,"[SBAT] NVM KeyNBID status: %d",""
b0ba,"[PROTOKEY] Cache Seed %d failed checksum calculation, zeroing cache",""
40be,"[SS_SWC] cal_offmode_active_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ","000e06be"
6abe,"[SBAT] SbaTicketValidation: nvmInitialized default write block failed.",""
3dc2,"[SS_SWC] cal_disabled_state_offmode_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
a0c2,"[INT_DID] DIDF190 NvM ReadError Status:%d",""
68c6,"[SBAT] SbaTicketValidation: Loading appNBID NVM with default value.",""
a1ca,"[INT_DID] DIDF1DC NvM ReadError Status:%d",""
9dce,"[INT_DID] DID41EB NvM ReadError Status:%d",""
33d2,"[SS_SWC] cal_background_sleep_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
44d2,"[SS_SWC] cal_str_mode_soc_min_threshold_1 (%d) read eeprom error !, Reinstating the default value (%d) ",""
60d2,"[CAL] EEPROM Write Failure for CalGroup-%d",""
7ed2,"[J6_CDD] Read RVS_STATUS cal from NVM is complete :",""
42d6,"[SS_SWC] cal_shutdown_animation_failsafe_timeout (%d) read out of range !, Reinstating the default value (%d) ",""
46d6,"[SS_SWC] cal_max_suspend_time_3 (%d) read eeprom error !, Reinstating the default value (%d) ",""
67d6,"[SBAT] SbaTicketValidation: CheckNVMIntegrityStatus read block failed.",""
9fd6,"[INT_DID] DIDF0B4_Shift NvM ReadError Status:%d",""
61da,"[CAL] EEPROM Write Failure for CalGroup-%d",""
3fde,"[SS_SWC] cal_infotainment_activity_timeout_sec (%d) read eeprom error !, Reinstating the default value (%d) ",""
62e2,"[CAL] EEPROM Write Failure for CalGroup-%d",""
137e2,"[J6_CDD] Message index (%d) != CalReadIndx (%d), will not write CalGroup",""
36e6,"[SS_SWC] cal_user_initiated_local_infotainment_timeout_sec (%d) read out of range !, Reinstating the default value (%d) ","000653e6;00086ae4;0008e298"
