tmpfs /dev tmpfs rw,seclabel,nosuid,relatime,mode=755 0 0
devpts /dev/pts devpts rw,seclabel,relatime,mode=600,ptmxmode=000 0 0
proc /proc proc rw,relatime,gid=3009,hidepid=2 0 0
sysfs /sys sysfs rw,seclabel,relatime 0 0
selinuxfs /sys/fs/selinux selinuxfs rw,relatime 0 0
tmpfs /mnt tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000 0 0
/dev/block/by-name/metadata /metadata ext4 rw,seclabel,nosuid,nodev,noatime,discard,errors=panic 0 0
/dev/block/dm-6 / ext4 ro,seclabel,nodev,relatime 0 0
/dev/block/dm-7 /vendor ext4 ro,seclabel,relatime 0 0
/dev/block/dm-8 /product ext4 ro,seclabel,relatime 0 0
tmpfs /apex tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755 0 0
tmpfs /linkerconfig tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755 0 0
tmpfs /mnt/installer tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000 0 0
tmpfs /mnt/androidwritable tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000 0 0
/dev/block/dm-6 /apex/com.android.adbd ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.appsearch ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.art ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.conscrypt ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.extservices ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.geotz ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.i18n ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.ipsec ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.media ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.media.swcodec ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.mediaprovider ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.neuralnetworks ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.os.statsd ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.permission ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.resolv ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.runtime ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.scheduling ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.sdkext ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.tethering ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.tzdata ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.vndk.v32 ext4 ro,seclabel,relatime 0 0
/dev/block/dm-6 /apex/com.android.wifi ext4 ro,seclabel,relatime 0 0
none /sys/fs/cgroup cgroup2 rw,nosuid,nodev,noexec,relatime 0 0
none /dev/cpuctl cgroup rw,nosuid,nodev,noexec,relatime,cpu 0 0
none /dev/cpuset cgroup rw,nosuid,nodev,noexec,relatime,cpuset,noprefix,release_agent=/sbin/cpuset_release_agent 0 0
none /dev/memcg cgroup rw,nosuid,nodev,noexec,relatime,memory 0 0
none /dev/stune cgroup rw,nosuid,nodev,noexec,relatime,schedtune 0 0
tmpfs /linkerconfig tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755 0 0
tracefs /sys/kernel/tracing tracefs rw,seclabel,relatime,gid=3012 0 0
none /config configfs rw,nosuid,nodev,noexec,relatime 0 0
binder /dev/binderfs binder rw,relatime,max=1048576,stats=global 0 0
none /sys/fs/fuse/connections fusectl rw,relatime 0 0
bpf /sys/fs/bpf bpf rw,nosuid,nodev,noexec,relatime 0 0
pstore /sys/fs/pstore pstore rw,seclabel,nosuid,nodev,noexec,relatime 0 0
/dev/block/by-name/calibration /mnt/vendor/calibration ext4 rw,seclabel,nosuid,nodev,noatime,errors=panic 0 0
/dev/block/by-name/update_cache /update_cache ext4 rw,seclabel,nosuid,nodev,noatime,errors=panic,stripe=2 0 0
/dev/block/by-name/config /mnt/vendor/oem_config ext4 rw,seclabel,nosuid,nodev,noatime,errors=panic 0 0
tmpfs /storage tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=755,gid=1000 0 0
/dev/block/by-name/data /data f2fs rw,lazytime,seclabel,nosuid,nodev,noatime,nodiratime,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=19911,resuid=0,resgid=1065,alloc_mode=default,fsync_mode=nobarrier 0 0
/dev/block/by-name/data /data/user/0 f2fs rw,lazytime,seclabel,nosuid,nodev,noatime,nodiratime,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=19911,resuid=0,resgid=1065,alloc_mode=default,fsync_mode=nobarrier 0 0
tmpfs /data_mirror tmpfs rw,seclabel,nosuid,nodev,noexec,relatime,mode=700,gid=1000 0 0
/dev/block/by-name/data /data_mirror/data_ce/null f2fs rw,lazytime,seclabel,nosuid,nodev,noatime,nodiratime,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=19911,resuid=0,resgid=1065,alloc_mode=default,fsync_mode=nobarrier 0 0
/dev/block/by-name/data /data_mirror/data_ce/null/0 f2fs rw,lazytime,seclabel,nosuid,nodev,noatime,nodiratime,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=19911,resuid=0,resgid=1065,alloc_mode=default,fsync_mode=nobarrier 0 0
/dev/block/by-name/data /data_mirror/data_de/null f2fs rw,lazytime,seclabel,nosuid,nodev,noatime,nodiratime,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=19911,resuid=0,resgid=1065,alloc_mode=default,fsync_mode=nobarrier 0 0
/dev/block/by-name/data /data_mirror/cur_profiles f2fs rw,lazytime,seclabel,nosuid,nodev,noatime,nodiratime,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=19911,resuid=0,resgid=1065,alloc_mode=default,fsync_mode=nobarrier 0 0
/dev/block/by-name/data /data_mirror/ref_profiles f2fs rw,lazytime,seclabel,nosuid,nodev,noatime,nodiratime,background_gc=on,discard,no_heap,user_xattr,inline_xattr,acl,inline_data,inline_dentry,flush_merge,extent_cache,mode=adaptive,active_logs=6,reserve_root=19911,resuid=0,resgid=1065,alloc_mode=default,fsync_mode=nobarrier 0 0
iAPClient /dev/ffs functionfs rw,relatime 0 0
adb /dev/usb-ffs/adb functionfs rw,relatime 0 0
mtp /dev/usb-ffs/mtp functionfs rw,relatime 0 0
ptp /dev/usb-ffs/ptp functionfs rw,relatime 0 0
/data/media /mnt/runtime/default/emulated sdcardfs rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=1015,multiuser,mask=6,derive_gid,default_normal,unshared_obb 0 0
/data/media /mnt/runtime/read/emulated sdcardfs rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=23,derive_gid,default_normal,unshared_obb 0 0
/data/media /mnt/runtime/write/emulated sdcardfs rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal,unshared_obb 0 0
/data/media /mnt/runtime/full/emulated sdcardfs rw,nosuid,nodev,noexec,noatime,fsuid=1023,fsgid=1023,gid=9997,multiuser,mask=7,derive_gid,default_normal,unshared_obb 0 0
/dev/fuse /mnt/user/0/emulated fuse rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other 0 0
/dev/fuse /mnt/installer/0/emulated fuse rw,lazytime,nosuid,nodev,noexec,noatime,user_id=0,group_id=0,allow_other 0 0
