USER           PID  PPID     VSZ    RSS WCHAN            ADDR S NAME                       
root             1     0 10955424 12336 0                   0 S init
root             2     0       0      0 0                   0 S [kthreadd]
root             3     2       0      0 0                   0 I [rcu_gp]
root             4     2       0      0 0                   0 I [rcu_par_gp]
root             5     2       0      0 0                   0 I [kworker/0:0-events]
root             8     2       0      0 0                   0 I [mm_percpu_wq]
root             9     2       0      0 0                   0 S [ksoftirqd/0]
root            10     2       0      0 0                   0 I [rcu_preempt]
root            11     2       0      0 0                   0 I [rcu_sched]
root            12     2       0      0 0                   0 I [rcu_bh]
root            13     2       0      0 0                   0 S [migration/0]
root            14     2       0      0 0                   0 S [cpuhp/0]
root            15     2       0      0 0                   0 S [cpuhp/1]
root            16     2       0      0 0                   0 S [migration/1]
root            17     2       0      0 0                   0 S [ksoftirqd/1]
root            20     2       0      0 0                   0 S [cpuhp/2]
root            21     2       0      0 0                   0 S [migration/2]
root            22     2       0      0 0                   0 S [ksoftirqd/2]
root            23     2       0      0 0                   0 I [kworker/2:0-events]
root            25     2       0      0 0                   0 S [cpuhp/3]
root            26     2       0      0 0                   0 S [migration/3]
root            27     2       0      0 0                   0 S [ksoftirqd/3]
root            28     2       0      0 0                   0 I [kworker/3:0-events]
root            30     2       0      0 0                   0 I [netns]
root            31     2       0      0 0                   0 S [rcu_tasks_kthre]
root            32     2       0      0 0                   0 S [kauditd]
root            33     2       0      0 0                   0 I [kworker/0:1-trusty-timer-wq]
root            34     2       0      0 0                   0 S [khungtaskd]
root            35     2       0      0 0                   0 S [oom_reaper]
root            36     2       0      0 0                   0 I [writeback]
root            37     2       0      0 0                   0 S [kcompactd0]
root            38     2       0      0 0                   0 S [khugepaged]
root            39     2       0      0 0                   0 I [crypto]
root            40     2       0      0 0                   0 I [kblockd]
root            41     2       0      0 0                   0 I [kworker/u9:0-f2fs_post_read_wq]
root            42     2       0      0 0                   0 I [blk_crypto_wq]
root            43     2       0      0 0                   0 I [ata_sff]
root            44     2       0      0 0                   0 I [devfreq_wq]
root            45     2       0      0 0                   0 S [watchdogd]
root            46     2       0      0 0                   0 I [kworker/u8:1-trusty-check-wq]
root            47     2       0      0 0                   0 I [cfg80211]
root            66     2       0      0 0                   0 S [kswapd0]
root            67     2       0      0 0                   0 I [cifsiod]
root            68     2       0      0 0                   0 I [cifsoplockd]
root            99     2       0      0 0                   0 I [kworker/1:1-events]
root           115     2       0      0 0                   0 I [kworker/u8:2-adb]
root           116     2       0      0 0                   0 S [khvcd]
root           118     2       0      0 0                   0 I [kworker/0:1H-events_highpri]
root           119     2       0      0 0                   0 S [i915/signal:0]
root           120     2       0      0 0                   0 S [i915/signal:1]
root           121     2       0      0 0                   0 S [i915/signal:2]
root           122     2       0      0 0                   0 S [i915/signal:6]
root           124     2       0      0 0                   0 I [kworker/2:2-events]
root           126     2       0      0 0                   0 I [kworker/u8:3-trusty-check-wq]
root           128     2       0      0 0                   0 I [kworker/2:4-events]
root           129     2       0      0 0                   0 S [spi1]
root           130     2       0      0 0                   0 S [spi2]
root           131     2       0      0 0                   0 S [spi3]
root           134     2       0      0 0                   0 I [nvme-wq]
root           135     2       0      0 0                   0 I [nvme-reset-wq]
root           136     2       0      0 0                   0 I [nvme-delete-wq]
root           137     2       0      0 0                   0 I [dm_bufio_cache]
root           138     2       0      0 0                   0 S [ion_system_heap]
root           139     2       0      0 0                   0 I [kworker/1:2-events]
root           140     2       0      0 0                   0 I [ipv6_addrconf]
root           164     2       0      0 0                   0 I [kworker/3:1H-kblockd]
root           167     2       0      0 0                   0 S [jbd2/vda12-8]
root           168     2       0      0 0                   0 I [ext4-rsv-conver]
root           169     2       0      0 0                   0 I [kdmflush]
root           170     2       0      0 0                   0 I [kdmflush]
root           171     2       0      0 0                   0 I [kdmflush]
root           172     2       0      0 0                   0 I [kdmflush]
root           173     2       0      0 0                   0 I [kdmflush]
root           174     2       0      0 0                   0 I [kdmflush]
root           175     2       0      0 0                   0 I [kdmflush]
root           176     2       0      0 0                   0 I [kverityd]
root           177     2       0      0 0                   0 I [ext4-rsv-conver]
root           179     2       0      0 0                   0 I [kdmflush]
root           180     2       0      0 0                   0 I [kverityd]
