addr	type	name	size
0x0	OBJ	__ghsautoimport_osa	2519
0x200000	FUNC	_start	77
0x200000	OBJ	__ghsbegin_romstart	0
0x200000	OBJ	__ghsbegin_kernel_text	0
0x20004d	OBJ	baseptrs	24
0x200080	FUNC	ASP_FatalException	29
0x200091	NOTYPE	..lin.7a18032c..65674fff.0_1	0
0x20009b	NOTYPE	..lin.7a18032c..65674fff.0_2	0
0x20009d	FUNC	ASP_FatalError	36
0x2000aa	NOTYPE	..lin.7a18032c..14b752fa.0_3	0
0x2000bf	NOTYPE	..lin.7a18032c..14b752fa.0_4	0
0x2000c1	FUNC	AllocatePageTablePage...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	100
0x2000ee	NOTYPE	..lin.7a18032c..8657de4c.0_5	0
0x2000fd	NOTYPE	..lin.7a18032c..8657de4c.0_6	0
0x200111	NOTYPE	..lin.7a18032c..8657de4c.0_7	0
0x200120	NOTYPE	..lin.7a18032c..8657de4c.0_8	0
0x200125	FUNC	InvalidatePagingStructureCachesAndNonGlobalTLBEntries...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	7
0x20012c	FUNC	ASP_MapKernelMemoryImpl...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	739
0x200155	NOTYPE	..lin.7a18032c..398a95f2.0_9	0
0x20019d	NOTYPE	..lin.7a18032c..398a95f2.0_10	0
0x2001aa	NOTYPE	..lin.7a18032c..398a95f2.0_11	0
0x2001af	NOTYPE	..lin.7a18032c..398a95f2.0_12	0
0x2001cc	NOTYPE	..lin.7a18032c..398a95f2.0_13	0
0x2001f5	NOTYPE	..lin.7a18032c..398a95f2.0_14	0
0x200202	NOTYPE	..lin.7a18032c..398a95f2.0_15	0
0x200207	NOTYPE	..lin.7a18032c..398a95f2.0_16	0
0x200224	NOTYPE	..lin.7a18032c..398a95f2.0_17	0
0x20024d	NOTYPE	..lin.7a18032c..398a95f2.0_18	0
0x20025a	NOTYPE	..lin.7a18032c..398a95f2.0_19	0
0x200267	NOTYPE	..lin.7a18032c..398a95f2.0_20	0
0x200274	NOTYPE	..lin.7a18032c..398a95f2.0_21	0
