addr	type	name	size
0x0	OBJ	__ghsautoimport_osa	2519
0x200000	FUNC	_start	77
0x200000	OBJ	__ghsbegin_romstart	0
0x200000	OBJ	__ghsbegin_kernel_text	0
0x20004d	OBJ	baseptrs	24
0x200080	FUNC	ASP_FatalException	29
0x20009d	FUNC	ASP_FatalError	36
0x2000c1	FUNC	AllocatePageTablePage...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	100
0x200125	FUNC	InvalidatePagingStructureCachesAndNonGlobalTLBEntries...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	7
0x20012c	FUNC	ASP_MapKernelMemoryImpl...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	739
0x20040f	FUNC	ASP_MapKernelMemoryRecord...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	150
0x2004a5	FUNC	ASP_MapKernelMemory	54
0x2004db	FUNC	ASP_PreCrtInitializeMapTrampoline...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	1
0x2004dc	FUNC	ASP_PreCrtInitializeBootstrap...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	939
0x200887	FUNC	ASP_FlushEntireCache	5
0x20088c	FUNC	ASP_PreCrtInitialize	228
0x200970	FUNC	ASP_WasResumedFromRam	10
0x20097a	FUNC	ASP_ReturnToRAM	66
0x2009bc	FUNC	CheckForSpeculationControls...2Fhome.2Fmal.2Fgm_release.2FMY22.2D026.2Ffinal.2Fiot.2Frtos.2Flibs.2Fgm.2Di35.2Frel.2Fwork.2Flibkernel.2Flibkernel.2F86_x64.	208
