/Users/zeno/Downloads/github/gminfo_resources/research/scripts/ghidra_rh850/vipboot/s11_residue.py:8: DeprecationWarning: open_program() is deprecated, use open_project() and program_context() or program_loader() instead.
  with pyghidra.open_program(
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::staticFieldOffset has been called by org.apache.felix.framework.util.SecureAction (file:/Users/zeno/ghidra_12.1.2_PUBLIC/Ghidra/Features/Base/lib/org.apache.felix.framework-7.0.5.jar)
WARNING: Please consider reporting this to the maintainers of class org.apache.felix.framework.util.SecureAction
WARNING: sun.misc.Unsafe::staticFieldOffset will be removed in a future release
total gaps: 372 total bytes: 4785

=== all gaps (addr,len,hex) ===
0x6a5b9 0x6a8f9 len=833 0004200000405abdfec4cfbdfee4d0bdfecccfbdfe64d2bdfea4cebdfeaccebd
0xd4 0x219 len=326 0000000000000000000000000000000000000000000000000000000000000000
0x2701 0x282f len=303 004ca10200405abdfec4cfbdfee4d0bdfecccfbdfe64d2bdfea4cebdfeaccebd
0xabe 0xbe3 len=294 e25f040094640400946404009464040094640400946404007e5c040094640400
0x2c69 0x2d81 len=281 00010001a178eb3e38f4f35850f219347335432aa346507c111db7aa1a873a23
0x6ab21 0x6ac39 len=281 00010001a178eb3e38f4f35850f219347335432aa346507c111db7aa1a873a23
0x1ff88 0x2006d len=230 fffff2b0ffff4ab1ffffcab1ffffd2b1ffffdab1ffff42b0fffff0b0ffff48b1
0x87dd8 0x87ebd len=230 fffff2b0ffff4ab1ffffcab1ffffd2b1ffffdab1ffff42b0fffff0b0ffff48b1
0x6e2 0x77f len=158 ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
0x29d5 0x2a41 len=109 000c010000000000000000000000000000000000000000000000000000000000
0x329c 0x32fd len=98 ffffb2b1ffff0000000000000000000000000100000003030108000101001fab
0x6b154 0x6b1b5 len=98 ffffb2b1ffff000000000000000000000000010000000303010800010100d729
0x3022 0x3069 len=72 f36f2e68ee828f746f63a5781478c8840802c78cfaffbe90eb6c50a4f7a3f9be
0x6aeda 0x6af21 len=72 f36f2e68ee828f746f63a5781478c8840802c78cfaffbe90eb6c50a4f7a3f9be
0x8a350 0x8a37f len=48 ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff
0x16cd 0x16eb len=31 424f4c4f3a20426f6f746c6f6164657220456e746572696e6720536c656570
0x82a 0x843 len=26 0000000000000000000000000000000000000000000000000000
0x6859a 0x685b3 len=26 0000000000000000000000000000000000000000000000000000
0x685ea 0x68603 len=26 0000000000000000000000000000000000000000000000000000
0x6862a 0x68643 len=26 0000000000000000000000000000000000000000000000000000
0x6864a 0x68663 len=26 0000000000000000000000000000000000000000000000000000
0x203e4 0x203f9 len=22 ffff53483835305430317878787878785632313100ff
0x88234 0x88249 len=22 ffff53483835305430317878787878785632313100ff
0x30c2 0x30d3 len=18 ff0700c052020000ff0700c001010000bf03
0x6af7a 0x6af8b len=18 ff0700c052020000ff0700c001010000bf03
0x1910 0x191d len=14 0000000000000000000000000000
0x2bd4 0x2be1 len=14 00002a00000052483835302d4353
0x697c8 0x697d5 len=14 0000000000000000000000000000
0x2437 0x2442 len=12 5b253038645d2025730d0a00
0x2c1d 0x2c28 len=12 20307825303258002e0d0a00
0x6a2ef 0x6a2fa len=12 5b253038645d2025730d0a00
0x6aad5 0x6aae0 len=12 20307825303258002e0d0a00
0x2beb 0x2bf4 len=10 00000000000000000000
0x1f18a 0x1f193 len=10 00000000000000000000
0x6858a 0x68593 len=10 00000000000000000000
0x685ba 0x685c3 len=10 00000000000000000000
0x685ca 0x685d3 len=10 00000000000000000000
0x685da 0x685e3 len=10 00000000000000000000
0x6860a 0x68613 len=10 00000000000000000000
0x6861a 0x68623 len=10 00000000000000000000
0x6866a 0x68673 len=10 00000000000000000000
0x6867a 0x68683 len=10 00000000000000000000
0x6868a 0x68693 len=10 00000000000000000000
0x6869a 0x686a3 len=10 00000000000000000000
0x686aa 0x686b3 len=10 00000000000000000000
0x686ba 0x686c3 len=10 00000000000000000000
0x686ca 0x686d3 len=10 00000000000000000000
0x686da 0x686e3 len=10 00000000000000000000
0x686ea 0x686f3 len=10 00000000000000000000
0x686fa 0x68703 len=10 00000000000000000000
0x6870a 0x68713 len=10 00000000000000000000
0x6871a 0x68723 len=10 00000000000000000000
0x6872a 0x68733 len=10 00000000000000000000
0x6873a 0x68743 len=10 00000000000000000000
0x6874a 0x68753 len=10 00000000000000000000
0x6875a 0x68763 len=10 00000000000000000000
0x6876a 0x68773 len=10 00000000000000000000
0x86fda 0x86fe3 len=10 00000000000000000000
0x7d8de 0x7d8e5 len=8 80070a0180071601
0x78a 0x78f len=6 000000000000
0x79a 0x79f len=6 000000000000
0x7ba 0x7bf len=6 000000000000
0x7ca 0x7cf len=6 000000000000
0x7da 0x7df len=6 000000000000
0x7ea 0x7ef len=6 000000000000
0x80a 0x80f len=6 000000000000
0x81a 0x81f len=6 000000000000
0x86a 0x86f len=6 000000000000
0x87a 0x87f len=6 000000000000
0x88a 0x88f len=6 000000000000
0x89a 0x89f len=6 000000000000
0x8aa 0x8af len=6 000000000000
0x8ba 0x8bf len=6 000000000000
0x8ca 0x8cf len=6 000000000000
0x8da 0x8df len=6 000000000000
0x8ea 0x8ef len=6 000000000000
0x8fa 0x8ff len=6 000000000000
0x90a 0x90f len=6 000000000000
0x91a 0x91f len=6 000000000000
0x92a 0x92f len=6 000000000000
0x93a 0x93f len=6 000000000000
0x94a 0x94f len=6 000000000000
0x95a 0x95f len=6 000000000000
0x96a 0x96f len=6 000000000000
0x97a 0x97f len=6 000000000000
0x2be5 0x2be9 len=5 0000000000
0x2b5c 0x2b5f len=4 00204060
0xb5f8 0xb5fb len=4 33061aab
0xb664 0xb667 len=4 8007890b
0xbd18 0xbd1b len=4 82074f08
0xc406 0xc409 len=4 3306f0aa
0x1aaee 0x1aaf1 len=4 26069fa6
0x6aa14 0x6aa17 len=4 00204060
0x73446 0x73449 len=4 3306d229
0x74550 0x74553 len=4 3c06d229
0x745fa 0x745fd len=4 82078f0d
0x74d6e 0x74d71 len=4 3306d229
0x80e36 0x80e39 len=4 8007fe00
0x83240 0x83243 len=4 26067d25
0x86faa 0x86fad len=4 27494076
0x452 0x453 len=2 144f
0x566 0x567 len=2 c8ae
0x5be 0x5bf len=2 ffff
0x784 0x785 len=2 ffff
0x84a 0x84b len=2 0000
0x17f0 0x17f1 len=2 0000
0x292c 0x292d len=2 bdfe
0x2a9a 0x2a9b len=2 5b25
0x349e 0x349f len=2 0106
0x35de 0x35df len=2 bc0f
0x384e 0x384f len=2 0000
0x3854 0x3855 len=2 2336
0x3b56 0x3b57 len=2 2106
0x3cce 0x3ccf len=2 3c0f
0x3ffe 0x3fff len=2 7ddf
0x4464 0x4465 len=2 8007
0x447c 0x447d len=2 8007
0x44dc 0x44dd len=2 435f
0x48be 0x48bf len=2 a007
0x5708 0x5709 len=2 6087
0x57e0 0x57e1 len=2 9086
0x5cba 0x5cbb len=2 fd0f
0x622a 0x622b len=2 1b0f
0x6370 0x6371 len=2 8007
0x6378 0x6379 len=2 8007
0x6384 0x6385 len=2 8007
0x638c 0x638d len=2 8007
0x63a0 0x63a1 len=2 8007
0x63ce 0x63cf len=2 9dee
0x63dc 0x63dd len=2 435f
0x6866 0x6867 len=2 cbbf
0x6ef4 0x6ef5 len=2 23ff
0x6ffc 0x6ffd len=2 430f
0x70b2 0x70b3 len=2 203e
0x7242 0x7243 len=2 2606
0x75b6 0x75b7 len=2 63e7
0x7652 0x7653 len=2 63e7
0x7856 0x7857 len=2 0000
0x81e8 0x81e9 len=2 7db7
0x89ec 0x89ed len=2 fc0f
0x9462 0x9463 len=2 fc0f
0xad86 0xad87 len=2 fc0f
0xb1d0 0xb1d1 len=2 c20e
0xb446 0xb447 len=2 430f
0xb480 0xb481 len=2 4307
0xbea8 0xbea9 len=2 8207
0xc202 0xc203 len=2 2c06
0xc622 0xc623 len=2 2317
0xc686 0xc687 len=2 c107
0xcd6a 0xcd6b len=2 c107
0xcdb0 0xcdb1 len=2 c187
0xd640 0xd641 len=2 2a06
0xe004 0xe005 len=2 e007
0xe8fa 0xe8fb len=2 630f
0xe9fe 0xe9ff len=2 3b37
0xebf4 0xebf5 len=2 4357
0xeffe 0xefff len=2 bfff
0x10422 0x10423 len=2 bfff
0x109be 0x109bf len=2 6b0f
0x10f9a 0x10f9b len=2 3d0f
0x117fe 0x117ff len=2 63ef
0x11b40 0x11b41 len=2 3bbf
0x11c8e 0x11c8f len=2 3937
0x120e8 0x120e9 len=2 3a3f
0x12168 0x12169 len=2 3a47
0x1237a 0x1237b len=2 7c0f
0x12392 0x12393 len=2 7cef
0x1260c 0x1260d len=2 5b0f
0x12654 0x12655 len=2 80ff
0x12a4e 0x12a4f len=2 3a47
0x12a8c 0x12a8d len=2 3a47
0x13560 0x13561 len=2 3de7
0x136b8 0x136b9 len=2 0000
0x137ba 0x137bb len=2 63ff
0x147fc 0x147fd len=2 234e
0x14ac6 0x14ac7 len=2 63e7
0x15688 0x15689 len=2 0000
0x15aea 0x15aeb len=2 5cd7
0x15af0 0x15af1 len=2 da0e
0x15b08 0x15b09 len=2 dc17
0x15b16 0x15b17 len=2 dc1f
0x15b30 0x15b31 len=2 c10e
0x15f32 0x15f33 len=2 32f7
0x1652e 0x1652f len=2 fb0f
0x1679a 0x1679b len=2 7b0f
0x169de 0x169df len=2 63d7
0x17f22 0x17f23 len=2 63e7
0x17f8a 0x17f8b len=2 63e7
0x183a4 0x183a5 len=2 ddbf
0x18a8a 0x18a8b len=2 3de7
0x18d1a 0x18d1b len=2 3d9f
0x18d6c 0x18d6d len=2 3d9f
0x18d82 0x18d83 len=2 a317
0x18e38 0x18e39 len=2 0000
0x1979e 0x1979f len=2 59e7
0x1989e 0x1989f len=2 3d37
0x19f60 0x19f61 len=2 400e
0x1bdf0 0x1bdf1 len=2 7abf
0x1c780 0x1c781 len=2 3987
0x1cb86 0x1cb87 len=2 2347
0x1cba0 0x1cba1 len=2 2347
0x1d2ea 0x1d2eb len=2 1c0e
0x1d512 0x1d513 len=2 63e7
0x1e226 0x1e227 len=2 0117
0x1e28c 0x1e28d len=2 0117
0x1e2fa 0x1e2fb len=2 0117
0x1e368 0x1e369 len=2 0117
0x1e3da 0x1e3db len=2 0117
0x1e448 0x1e449 len=2 0117
0x1e4b6 0x1e4b7 len=2 0117
0x1e524 0x1e525 len=2 0117
0x1e58a 0x1e58b len=2 0117
0x1e5f0 0x1e5f1 len=2 0117
0x1e65e 0x1e65f len=2 0117
0x1e6cc 0x1e6cd len=2 0117
0x1e7a8 0x1e7a9 len=2 0117
0x1e816 0x1e817 len=2 0117
0x1e884 0x1e885 len=2 0117
0x1e8f2 0x1e8f3 len=2 0117
0x1e960 0x1e961 len=2 0117
0x1ea56 0x1ea57 len=2 8647
0x1ead6 0x1ead7 len=2 80ff
0x1eebc 0x1eebd len=2 a307
0x2014e 0x2014f len=2 2347
0x2075a 0x2075b len=2 031e
0x21c2c 0x21c2d len=2 3cf7
0x69848 0x69849 len=2 5bb7
0x6aa0c 0x6aa0d len=2 0000
0x6b6fe 0x6b6ff len=2 0000
0x6b9a6 0x6b9a7 len=2 3cf7
0x6bb7e 0x6bb7f len=2 3c0f
0x6bd86 0x6bd87 len=2 2106
0x6c18a 0x6c18b len=2 8007
0x6c1a2 0x6c1a3 len=2 8007
0x6c1b6 0x6c1b7 len=2 8007
0x6c1e6 0x6c1e7 len=2 9dee
0x6c202 0x6c203 len=2 435f
0x6ceac 0x6cead len=2 8007
0x6da2a 0x6da2b len=2 fd0f
0x6e198 0x6e199 len=2 8007
0x6e1b0 0x6e1b1 len=2 8007
0x6e210 0x6e211 len=2 435f
0x6ee34 0x6ee35 len=2 430f
0x6f07a 0x6f07b len=2 2606
0x6f2d8 0x6f2d9 len=2 bfff
0x6f576 0x6f577 len=2 2906
0x6f590 0x6f591 len=2 3d37
0x6fb8c 0x6fb8d len=2 528f
0x704dc 0x704dd len=2 5c0f
0x704f8 0x704f9 len=2 5c0f
0x7050a 0x7050b len=2 5c0f
0x7057a 0x7057b len=2 5c0f
0x70590 0x70591 len=2 3a0f
0x705e8 0x705e9 len=2 5c0f
0x70732 0x70733 len=2 5a07
0x70766 0x70767 len=2 fc0f
0x707d0 0x707d1 len=2 fc0f
0x7083a 0x7083b len=2 fc0f
0x708be 0x708bf len=2 5a0f
0x70cb6 0x70cb7 len=2 4d67
0x71f46 0x71f47 len=2 8007
0x72e5a 0x72e5b len=2 63e7
0x72e90 0x72e91 len=2 7de7
0x72eca 0x72ecb len=2 63e7
0x7301e 0x7301f len=2 c20e
0x73cf6 0x73cf7 len=2 8207
0x746be 0x746bf len=2 3cf7
0x74fbe 0x74fbf len=2 63e7
0x76b1c 0x76b1d len=2 e35f
0x76c0a 0x76c0b len=2 4357
0x779dc 0x779dd len=2 e6e7
0x77ef4 0x77ef5 len=2 bb0f
0x780fe 0x780ff len=2 6307
0x78192 0x78193 len=2 9c47
0x78248 0x78249 len=2 bc0f
0x78274 0x78275 len=2 0000
0x79282 0x79283 len=2 3cbf
0x79322 0x79323 len=2 3cc7
0x7946c 0x7946d len=2 3ccf
0x795f6 0x795f7 len=2 994f
0x79d70 0x79d71 len=2 9847
0x7a1c8 0x7a1c9 len=2 7c0f
0x7a1e0 0x7a1e1 len=2 7cef
0x7a324 0x7a325 len=2 7957
0x7b420 0x7b421 len=2 3cf7
0x7b43c 0x7b43d len=2 3cf7
0x7b47e 0x7b47f len=2 3df7
0x7b4ac 0x7b4ad len=2 3df7
0x7b4c6 0x7b4c7 len=2 3df7
0x7b6e6 0x7b6e7 len=2 63e7
0x7b8f4 0x7b8f5 len=2 1116
0x7bff8 0x7bff9 len=2 430f
0x7c062 0x7c063 len=2 63e7
0x7c80a 0x7c80b len=2 23df
0x7c95a 0x7c95b len=2 3cf7
0x7c986 0x7c987 len=2 23c7
0x7c9c6 0x7c9c7 len=2 23df
0x7caae 0x7caaf len=2 3d37
0x7cbea 0x7cbeb len=2 63d7
0x7d472 0x7d473 len=2 23e7
